"CODE_IRIS","annee","prix_m2_med","prix_m2_mean","n_ventes"
"751010401",2024,10660,10805.9129531538,51
"751010401",2025,14255.4112554113,19001.3200302675,14
"751010402",2020,13340.9090909091,10469.9504218132,8
"751010402",2021,15263.1578947368,42718.5227115902,36
"751010402",2022,14166.6666666667,21190.2705624269,39
"751010402",2023,13939.0799297321,12617.6956177415,36
"751010402",2024,13469.7875,12353.2863244007,22
"751010402",2025,15367.9245283019,14735.0078036147,17
"751020501",2020,12418.7254901961,12363.611736083,13
"751020501",2021,12122.4489795918,13301.6015386284,18
"751020501",2022,11400.0310559006,11504.3213005975,18
"751020501",2023,14489.7058823529,13447.1116924012,15
"751020501",2024,10263.1578947368,10096.5309852799,13
"751020501",2025,9675.78947368421,10168.4534164195,5
"751020502",2020,15119.6995464853,15368.6274937325,6
"751020502",2021,13547.2727272727,13814.6928725559,6
"751020502",2022,15654.7826086957,16696.8267838148,14
"751020502",2023,19023.0769230769,24658.3829115692,9
"751020502",2024,15263.1578947368,15087.7785794326,9
"751020502",2025,13933.3333333333,15100.7936507937,3
"751020503",2020,11438.7285714286,11438.7285714286,1
"751020503",2021,12063.4920634921,12005.1529918604,5
"751020503",2022,11966.0799413275,10796.2108039971,4
"751020503",2023,16151.8181818182,17595.1398601399,4
"751020503",2024,67364.6441441441,67364.6441441441,2
"751020503",2025,12613.4251968504,13477.9793391211,3
"751020601",2020,16388.0952380952,17574.1266506277,16
"751020601",2021,11646.1811926606,12499.8182875765,32
"751020601",2022,11429.0419161677,11547.8594249206,33
"751020601",2023,14197.5308641975,24306.8649628738,33
"751020601",2024,494.117647058824,6489.5768918613,28
"751020601",2025,12103.1666666667,12912.3336313868,6
"751020602",2020,12656.2125984252,14104.9577995297,14
"751020602",2021,12796.6101694915,17249.6851586776,37
"751020602",2022,12445.3125,11773.3404055211,32
"751020602",2023,12091.8367346939,13339.2352956256,29
"751020602",2024,11920.4545454545,14970.6630191111,29
"751020602",2025,11538.4615384615,11802.0568125378,11
"751020701",2020,13039.2156862745,12041.8088060216,17
"751020701",2021,12600,12625.3981499377,45
"751020701",2022,12727.2727272727,12552.5689940944,31
"751020701",2023,13306.25,13752.7568255077,26
"751020701",2024,12020.3824295525,15629.999749313,46
"751020701",2025,12300,12152.579374032,17
"751020702",2020,12894.7368421053,13447.9586487462,25
"751020702",2021,12500,12584.4420185268,41
"751020702",2022,12692.3076923077,13244.155706112,39
"751020702",2023,13303.5714285714,25216.4251490538,51
"751020702",2024,12168.1818181818,13354.7387063231,35
"751020702",2025,11923.0769230769,12671.1036619852,9
"751020703",2020,12816.40625,12985.0062366298,31
"751020703",2021,12179.9421428571,11907.1181576387,38
"751020703",2022,11901.1442132982,11299.4159041711,36
"751020703",2023,11556.4516129032,10823.414999788,32
"751020703",2024,11000,15334.8671830546,29
"751020703",2025,11081.8713450292,13206.1014961114,14
"751020704",2020,12968.75,12968.75,1
"751020704",2021,11953.8288288288,51010.2107518774,6
"751020704",2022,11750,12671.7020508311,13
"751020704",2023,11222.8799081036,11450.9655579475,12
"751020704",2024,11906.500807972,13181.8088917531,10
"751020704",2025,12437.5,12144.0188172043,3
"751020801",2020,11580.9523809524,10952.3415068816,18
"751020801",2021,11963.8357142857,23045.02768265,78
"751020801",2022,12353.9285714286,16699.0601763487,80
"751020801",2023,10666.6666666667,10352.5860895019,53
"751020801",2024,12698.4126984127,40490.2646216377,57
"751020801",2025,35178.2363977486,46266.7222805245,56
"751020802",2020,12620.1372997712,11831.5328664115,22
"751020802",2021,12424.8461538462,12183.9685505878,43
"751020802",2022,11860.4651162791,12348.3630916347,69
"751020802",2023,11384.494949495,12326.0925101967,38
"751020802",2024,10892.2,14858.4509851581,46
"751020802",2025,10564.1025641026,11716.8460721357,22
"751020803",2020,12860.2857142857,11908.0714753471,29
"751020803",2021,11971.7948717949,13659.3133255159,54
"751020803",2022,12190.3409090909,13275.5093759082,60
"751020803",2023,11969.696969697,12547.7664726271,51
"751020803",2024,10482.7586206897,11885.920765519,41
"751020803",2025,11666.6666666667,10626.4747131585,19
"751020804",2020,11939.5,42724.1580253688,27
"751020804",2021,11895.8669354839,20308.1915526537,60
"751020804",2022,11891.6666666667,14053.9939960985,55
"751020804",2023,11000,14425.1819372456,44
"751020804",2024,11233.3333333333,12143.7395355357,39
"751020804",2025,9605.65476190476,9983.065132865,12
"751020805",2020,11790.6698564593,12405.1234344783,44
"751020805",2021,11103.6974789916,11730.8939132421,80
"751020805",2022,11656.9696969697,12196.0724575157,66
"751020805",2023,10837.1696428571,12851.8431011218,62
"751020805",2024,11707.3170731707,21875.2904586923,43
"751020805",2025,10464.2424242424,10118.9324286336,17
"751030901",2020,13529.4117647059,42676.0768040468,35
"751030901",2021,10222.8571428571,12178.3872650301,83
"751030901",2022,12031.25,26001.9944596676,75
"751030901",2023,11151.3157894737,12785.1940592161,46
"751030901",2024,10810.2419354839,9879.88169030142,36
"751030901",2025,10696.3141025641,12163.1489629338,18
"751030902",2020,11997.9052107882,10964.8609363627,22
"751030902",2021,12639.6153846154,23318.291122527,41
"751030902",2022,12702.7027027027,12061.5255241382,33
"751030902",2023,12269.2307692308,11466.8384962766,29
"751030902",2024,11287.0588235294,17268.5935836148,42
"751030902",2025,11123.724137931,9992.46784883494,14
"751030903",2020,13489.2580645161,13061.8266716513,17
"751030903",2021,12503.9940308989,12854.9245159413,26
"751030903",2022,12095.4166666667,21928.9589810926,62
"751030903",2023,11793.1034482759,11570.9404709653,69
"751030903",2024,11301.1531061693,14714.4101890264,40
"751030903",2025,11407.8947368421,12010.9986590947,26
"751030904",2020,12879.7166666667,12603.8202641178,22
"751030904",2021,12653.0612244898,13457.6275259648,39
"751030904",2022,12303.2608695652,12882.0777719049,55
"751030904",2023,11533.0882352941,11575.9731020258,37
"751030904",2024,11156.25,11452.0835226825,38
"751030904",2025,11666.6666666667,12578.9964886781,29
"751030905",2020,12967.2131147541,12601.5775664774,13
"751030905",2021,12187.5,13501.2705333364,53
"751030905",2022,11717.3922413793,11754.8862883594,42
"751030905",2023,11538.4615384615,12005.1661819848,31
"751030905",2024,9825,10987.1791404368,30
"751030905",2025,11000,11682.273692696,11
"751031001",2020,12000,11402.1761604106,21
"751031001",2021,12426.4214046823,13221.3101930954,40
"751031001",2022,12607.3366013072,14425.1729072212,38
"751031001",2023,12419.9751861042,21818.6334652357,38
"751031001",2024,11072.8744939271,13638.7833201548,30
"751031001",2025,10666.6666666667,12076.7467097456,13
"751031002",2020,12645.3265044814,14054.6489956569,22
"751031002",2021,12359.375,12902.7895456129,38
"751031002",2022,12656.6666666667,13394.6345105743,65
"751031002",2023,11625,11416.0423693847,55
"751031002",2024,11003.4782608696,14592.5616282783,40
"751031002",2025,11607.1428571429,12058.3850829473,23
"751031003",2020,13308.6956521739,15472.8289856495,33
"751031003",2021,13260.8695652174,14962.614663074,57
"751031003",2022,13586.2068965517,14913.7116299448,69
"751031003",2023,12818.2692307692,13383.4764179094,65
"751031003",2024,13923.2507739938,37606.672053199,78
"751031003",2025,12977.5280898876,12701.6838202723,37
"751031004",2020,12187.5,12228.3288332556,21
"751031004",2021,13047.037037037,30278.9331745645,62
"751031004",2022,12818.4782608696,17801.200271105,44
"751031004",2023,12500.3448275862,12690.774613478,42
"751031004",2024,12956.9155844156,18026.0554599863,46
"751031004",2025,12500,12639.5672138079,25
"751031101",2020,13000,11637.5256751085,17
"751031101",2021,12699.4537948555,12857.6870748399,24
"751031101",2022,12127.6595744681,12331.1382440975,33
"751031101",2023,13717.671875,33722.343201896,42
"751031101",2024,11563.1313131313,11694.0222607553,28
"751031101",2025,11629.303599374,11172.8205362693,16
"751031102",2020,13629.7446514838,13288.0582279032,30
"751031102",2021,13043.4782608696,12494.4472357658,43
"751031102",2022,13900,25111.1938582109,45
"751031102",2023,14400,15974.8711400789,29
"751031102",2024,13072.3801560758,14422.8918358798,34
"751031102",2025,12000,11454.3290832808,17
"751031103",2020,13235.632183908,15675.1602027335,12
"751031103",2021,14472.2222222222,14978.4067292113,40
"751031103",2022,14903.0277777778,21011.9955348235,45
"751031103",2023,13625,19539.820545903,36
"751031103",2024,13592.225,14577.5170844401,31
"751031103",2025,12666.6666666667,13648.4611617443,9
"751031104",2020,12333.3333333333,15341.2864203427,35
"751031104",2021,14572.7272727273,15084.2751597094,63
"751031104",2022,12906.25,15174.526262357,57
"751031104",2023,13571.4285714286,16114.7936683579,59
"751031104",2024,12972.972972973,31216.9847223591,79
"751031104",2025,14489.7959183673,15852.0235053422,25
"751031201",2020,13445.9188034188,15667.8705212723,14
"751031201",2021,12241.3793103448,14067.8903857331,33
"751031201",2022,11666.6666666667,10303.3640596775,75
"751031201",2023,12864.8648648649,14364.0907024639,47
"751031201",2024,12214.5535714286,13628.7350803084,40
"751031201",2025,12964.0947288006,15195.5960017788,24
"751031202",2020,13956.2335526316,25151.9333496477,16
"751031202",2021,12926.5212399541,13297.5988312681,42
"751031202",2022,12593.4210526316,13305.6444296458,53
"751031202",2023,12640.625,15155.121967499,32
"751031202",2024,12647.0588235294,14655.4779138025,25
"751031202",2025,11543.3333333333,10517.0499047308,14
"751031203",2020,13593.75,13372.5066338729,15
"751031203",2021,12321.4285714286,14724.5929625806,22
"751031203",2022,12066.2689393939,10975.66217709,26
"751031203",2023,12810.579004329,65025.7865739521,30
"751031203",2024,9348.60774410774,10037.1596288072,20
"751031203",2025,12592.5925925926,12729.9120962395,5
"751031204",2020,13291.3888888889,12633.6721937977,22
"751031204",2021,11750.408496732,11772.518550312,28
"751031204",2022,12166.6666666667,12251.5688811826,53
"751031204",2023,10409.6989966555,10037.3060551228,52
"751031204",2024,11050,11511.5679200657,39
"751031204",2025,12585,12240.9518438948,13
"751041301",2020,13207.5471698113,14373.5907938826,17
"751041301",2021,12466.7692307692,12492.5187342104,22
"751041301",2022,13150.3759398496,13656.4808682062,32
"751041301",2023,13142.8571428571,14201.0942896096,25
"751041301",2024,12217.9487179487,14669.2153549524,54
"751041301",2025,12857.1428571429,17248.7144725235,37
"751041302",2020,13737.3493975904,14892.6658627596,25
"751041302",2021,13102.9776674938,19002.0559846012,52
"751041302",2022,13284.9878567092,36762.2902283622,66
"751041302",2023,13120,28661.3995379882,63
"751041302",2024,11365.7407407407,11579.9662765428,42
"751041302",2025,11185,10063.2085261329,16
"751041303",2020,12052.6315789474,13539.0008046554,16
"751041303",2021,12030.6451612903,11813.75692867,32
"751041303",2022,13000,13130.172870326,27
"751041303",2023,13285.7142857143,20684.5897086659,43
"751041303",2024,10588.2352941176,25693.6848370053,29
"751041303",2025,11176.4705882353,10625.8603244987,9
"751041304",2020,12083.3333333333,12083.3333333333,1
"751041304",2021,13013.7614678899,14317.6403266174,8
"751041304",2022,15155.1696020874,15842.995154837,6
"751041304",2023,13687.5,12618.0555555556,3
"751041304",2024,7688.51303735025,7688.51303735025,2
"751041304",2025,12270.4545454545,12270.4545454545,2
"751041401",2020,14676.4705882353,19576.5070949309,20
"751041401",2021,12184.2105263158,10970.2611643141,17
"751041401",2022,17601.7398119122,56561.5363335658,44
"751041401",2023,12982,12499.1055068358,27
"751041401",2024,13750,17884.5550170618,33
"751041401",2025,14957.6842105263,16782.8481677564,17
"751041402",2020,15307.6923076923,42662.1120525602,31
"751041402",2021,13242.4242424242,14166.5776368996,31
"751041402",2022,13125,21746.2418139904,69
"751041402",2023,12991.0114772307,15062.5313824129,52
"751041402",2024,13161.2903225806,13022.6040842588,39
"751041402",2025,13604.826546003,17147.6178975962,22
"751041403",2020,14385.9649122807,14596.993544056,29
"751041403",2021,13058.1967213115,14953.7146035467,59
"751041403",2022,13104,16759.5063359944,68
"751041403",2023,13680.4038461538,14540.3051845579,44
"751041403",2024,12000,11493.6795271961,55
"751041403",2025,12566.6666666667,12365.7373663582,22
"751041404",2020,15116.2790697674,15236.4029265741,17
"751041404",2021,14480,14915.6604665002,53
"751041404",2022,13884.2424242424,15876.2250125523,47
"751041404",2023,13775,14626.9915681266,37
"751041404",2024,13181.8181818182,14105.2538751742,39
"751041404",2025,12785.25,13124.3613076149,34
"751041501",2020,12324.5614035088,12266.8404404375,22
"751041501",2021,13178.8245614035,12619.3859146449,42
"751041501",2022,12812.5,18251.5591416611,41
"751041501",2023,13053.7037037037,17099.8220816004,41
"751041501",2024,12813.6363636364,12741.3494794477,34
"751041501",2025,12018.5107628004,12809.155610632,22
"751041502",2020,13544.2546583851,13993.1400019998,22
"751041502",2021,13842.9166666667,16989.1610020337,30
"751041502",2022,13431.3725490196,14489.1389794454,61
"751041502",2023,13487.1031746032,15698.7242255409,40
"751041502",2024,13333.3333333333,30279.1003986199,37
"751041502",2025,12964.358974359,16165.2432654719,25
"751041503",2020,12529.2444444444,12714.0355169653,10
"751041503",2021,12170.5172766305,13068.7617849151,32
"751041503",2022,12870.3703703704,14350.7440906182,50
"751041503",2023,11861.5053763441,12528.1345052596,36
"751041503",2024,12401.0180995475,12205.0185830066,26
"751041503",2025,12083.3333333333,12722.3545958464,15
"751041504",2020,13622.619047619,14734.8805252952,25
"751041504",2021,13682.9672131148,17601.3220689653,84
"751041504",2022,13057.1428571429,14506.587153494,55
"751041504",2023,13103.4482758621,19230.9029392796,45
"751041504",2024,12325.5648148148,12433.5240621318,50
"751041504",2025,12333.3333333333,13160.6770758924,21
"751041601",2020,15100,20173.6057993829,43
"751041601",2021,16650,20654.6019013457,67
"751041601",2022,16496,23543.9773994935,83
"751041601",2023,16172.1611721612,17367.5516949577,70
"751041601",2024,14571.4285714286,21883.2317710259,67
"751041601",2025,17147.1095449501,20318.2166485554,30
"751041602",2020,27027.027027027,36963.1270951288,23
"751041602",2021,14237.7678571429,16078.2543764309,20
"751041602",2022,14603.9215686275,15842.0826967186,12
"751041602",2023,15337.3529411765,15390.1641473222,15
"751041602",2024,16787.8787878788,17014.5259556699,12
"751041602",2025,17160.7142857143,14647.9993386243,5
"751041603",2022,10030.9782608696,10030.9782608696,2
"751041603",2024,9137.93103448276,13227.969348659,3
"751041603",2025,17600,17600,1
"751051701",2020,12250,16129.9897590231,25
"751051701",2021,11466.6666666667,12488.4620399197,47
"751051701",2022,12296.2962962963,14218.497517959,55
"751051701",2023,12114.2707280081,13662.2431557577,48
"751051701",2024,12457.1428571429,13302.5106880003,43
"751051701",2025,11918.75,24888.0765769891,17
"751051702",2020,13002.7777777778,13893.5290706317,14
"751051702",2021,13125,14356.0183989144,29
"751051702",2022,13103.0303030303,15687.8516753355,29
"751051702",2023,12987.012987013,15486.1409920707,33
"751051702",2024,12454.5454545455,14685.2241534264,33
"751051702",2025,12200,12792.0188492924,11
"751051703",2020,11200,10690.777773257,17
"751051703",2021,13389.7297297297,14237.5571918945,52
"751051703",2022,13693.6954087346,17469.9455464804,42
"751051703",2023,12272.7272727273,12292.4583541578,45
"751051703",2024,11595.2913752914,11490.6173934315,38
"751051703",2025,11200,11991.0958624159,9
"751051704",2020,13653.8461538462,13616.434566084,15
"751051704",2021,12956.2770562771,13999.9010679509,58
"751051704",2022,12269.5652173913,14342.4028201412,45
"751051704",2023,12583.3333333333,13045.0600420959,43
"751051704",2024,12222.2222222222,13273.529069127,46
"751051704",2025,10625,10712.1371916067,21
"751051705",2020,14807.6923076923,45306.049869301,23
"751051705",2021,13958.3333333333,17804.8393902165,48
"751051705",2022,14826.5306122449,14747.9610625345,30
"751051705",2023,12842.4938474159,15976.3483758657,40
"751051705",2024,12777.7777777778,12301.7160507285,25
"751051705",2025,12915.0362318841,13360.2871157094,16
"751051801",2020,13000,19468.8293171675,21
"751051801",2021,11180.6976744186,11337.6383781848,35
"751051801",2022,11968.6782720825,13232.6781011248,32
"751051801",2023,10212.7659574468,11622.9351995702,33
"751051801",2024,10740.7407407407,15543.437367971,41
"751051801",2025,10666.6666666667,10677.293819317,15
"751051802",2020,12456.8965517241,14433.3817887955,23
"751051802",2021,11957.9545454545,11803.6341036619,34
"751051802",2022,12907.6666666667,13436.0598792058,63
"751051802",2023,11365.6565656566,10562.2491241339,34
"751051802",2024,10930,10510.817994992,29
"751051802",2025,11380.6096153846,10925.9969954976,12
"751051803",2020,12050,12621.9739011617,15
"751051803",2021,13161.7647058824,36639.2732236934,41
"751051803",2022,12641.5094339623,13194.3026322957,45
"751051803",2023,12476.1904761905,16665.3940056831,41
"751051803",2024,11925.5777777778,42931.8900991325,42
"751051803",2025,10652.5974025974,11317.1459600834,20
"751051804",2020,10513.1578947368,11835.1330913491,8
"751051804",2021,13846.1538461538,24310.9548292766,33
"751051804",2022,13125,14345.7288725059,35
"751051804",2023,12605.3399122807,17811.8569612686,36
"751051804",2024,11071.4285714286,10505.4820145977,36
"751051804",2025,12075,11058.415670565,11
"751051805",2020,12254.5454545455,11670.8032362888,15
"751051805",2021,11841.2183908046,11773.4692864589,42
"751051805",2022,11615.3846153846,12455.9887120921,41
"751051805",2023,11857.1428571429,11817.8106357544,39
"751051805",2024,10553.0129672006,10857.6450035912,34
"751051805",2025,10617.2969924812,12039.0414975545,20
"751051806",2020,12605.6741573034,12806.0583350656,10
"751051806",2021,12687.65625,12445.8451182974,29
"751051806",2022,12416.6666666667,13885.5706944352,53
"751051806",2023,12549.0384615385,14159.6562138923,33
"751051806",2024,11944.4444444444,12334.6130196283,29
"751051806",2025,12645.5026455026,16309.1527734282,14
"751051807",2020,13013.3333333333,13805.6728292239,17
"751051807",2021,11607.8947368421,11971.1384811852,47
"751051807",2022,16180.5555555556,18723.584808315,70
"751051807",2023,9753.69458128079,10931.1074669549,22
"751051807",2024,12592.8571428571,16456.2886409823,39
"751051807",2025,12056.3555114201,14128.6276489085,14
"751051808",2020,11454.5454545455,11214.5018372178,14
"751051808",2021,12946.2659380692,12932.2807327308,32
"751051808",2022,12391.8225155849,12452.8650881652,48
"751051808",2023,12625.9204712813,14617.0342964115,40
"751051808",2024,11746.4717741935,13977.7851474762,36
"751051808",2025,11337.6744186047,12953.90198134,16
"751051901",2020,11690.2834008097,12993.3951047352,30
"751051901",2021,12395.8333333333,15014.2807539678,59
"751051901",2022,13074.1758241758,17022.0279112155,64
"751051901",2023,12571.4285714286,16578.5476461718,59
"751051901",2024,11458.3333333333,12089.4983673769,49
"751051901",2025,10178.5714285714,11028.9395320633,17
"751051902",2020,14035.1038748833,13483.6840116787,12
"751051902",2021,12645.8333333333,12477.3655151749,29
"751051902",2022,12879.3103448276,14944.8902840317,32
"751051902",2023,12447.2990777339,12014.2656319623,26
"751051902",2024,11197.2972972973,11434.430052814,25
"751051902",2025,12014.2421833598,13289.767734765,14
"751051903",2020,13889.1481481481,14351.3410002782,23
"751051903",2021,12155.0185185185,12919.6921131867,35
"751051903",2022,12364.8648648649,13578.9065398073,33
"751051903",2023,13548.3870967742,15811.4860585117,29
"751051903",2024,12032.2580645161,26297.6331879261,31
"751051903",2025,10433.3333333333,10445.4448887102,10
"751051904",2020,13123.7857142857,12077.8737638384,24
"751051904",2021,13826.3675213675,15027.6784369502,32
"751051904",2022,12828.6940972222,13709.1155192365,20
"751051904",2023,14614.8459383754,41269.3515028142,30
"751051904",2024,10803.5714285714,10697.975567427,21
"751051904",2025,11861.6970278044,11154.3333623871,4
"751051905",2020,13198.7835153923,13939.260880142,16
"751051905",2021,14327.9411764706,15461.6620141977,32
"751051905",2022,14166.6666666667,14482.5194862184,41
"751051905",2023,12916.6666666667,15698.9171210101,35
"751051905",2024,13658.8541666667,15506.761955147,34
"751051905",2025,12000,11793.156442093,12
"751051906",2020,13755.4347826087,17676.2665777037,10
"751051906",2021,16256.880733945,24041.5107382841,40
"751051906",2022,12980.7692307692,16348.0763948298,37
"751051906",2023,14130.8712121212,17127.4297330764,30
"751051906",2024,12149.3670886076,11302.1347965644,33
"751051906",2025,13225.8064516129,13293.0442006655,9
"751051907",2020,14388.8888888889,14528.9548622393,13
"751051907",2021,13165.1315789474,12674.8108556071,19
"751051907",2022,13403.9835164835,13322.3824577485,38
"751051907",2023,13111.6388888889,13581.9337724026,28
"751051907",2024,12333.3333333333,16240.7487416032,22
"751051907",2025,16590,21848.5020408163,8
"751051908",2020,12315.344657973,11538.8128253827,14
"751051908",2021,13125,12846.459464264,41
"751051908",2022,13106.6176470588,15602.5753794279,80
"751051908",2023,11818.1818181818,13631.6523247702,55
"751051908",2024,12249.1538461538,13013.4267726109,52
"751051908",2025,36470,59516.5328947867,43
"751052001",2020,13764.7058823529,22881.9552297249,29
"751052001",2021,14085.1063829787,14813.3446960981,39
"751052001",2022,13134.9206349206,14913.6732064146,56
"751052001",2023,12999.2325581395,14381.2833620419,39
"751052001",2024,12186.1169354839,13223.5095471281,46
"751052001",2025,12566.9047619048,13581.1393774608,14
"751052002",2020,13947.3684210526,12537.7139182571,17
"751052002",2021,14687.5,14518.8992312631,15
"751052002",2022,15000,20812.2931300497,25
"751052002",2023,13475.7575757576,13414.37782575,31
"751052002",2024,12523.8095238095,16007.2809419961,23
"751052002",2025,13148.1481481481,30522.3392857143,7
"751052003",2020,12471.875,12201.1752886577,19
"751052003",2021,13782.0444444444,21993.9849056844,49
"751052003",2022,13347.2222222222,12135.5736965156,36
"751052003",2023,13445.8333333333,15927.1820208308,52
"751052003",2024,11918.3229813665,14271.8900824011,36
"751052003",2025,13498.6036911122,23803.7235158161,20
"751052004",2020,13199.2815600411,17989.0932593582,18
"751052004",2021,13284.3137254902,14673.2920601809,54
"751052004",2022,13583.3333333333,16298.0355861067,67
"751052004",2023,13015.9574468085,15770.1010895364,52
"751052004",2024,12500,13779.7130706889,53
"751052004",2025,15125,14931.080059787,7
"751052005",2021,553.333333333333,4988.84327142392,3
"751052005",2022,16428.5714285714,16428.5714285714,1
"751052005",2023,12719.806763285,12645.6176673568,4
"751052005",2024,10242.1212121212,10242.1212121212,1
"751062101",2020,16380.149951156,16826.2983756472,18
"751062101",2021,15521.5608108108,19614.0987180179,46
"751062101",2022,16248.9388489209,24635.7655226355,60
"751062101",2023,13333.3333333333,13590.604590767,36
"751062101",2024,14583.3333333333,16282.1218555523,25
"751062101",2025,14027.7777777778,14681.367940443,9
"751062102",2020,13151.0416666667,13229.4064881448,22
"751062102",2021,16653.3333333333,21841.0241533021,50
"751062102",2022,15940.5405405405,16587.6928207495,83
"751062102",2023,14031.25,15678.2471321642,58
"751062102",2024,14285.7142857143,16475.8655626979,63
"751062102",2025,16064.6796322489,20380.3222711922,30
"751062103",2020,16666.6666666667,17916.1001138486,23
"751062103",2021,15750,15896.2015714555,53
"751062103",2022,14970.3539823009,15210.9504764933,61
"751062103",2023,15425,36073.2610888468,61
"751062103",2024,14540.1666666667,16455.0740277809,55
"751062103",2025,13394.8498964803,29124.9013561277,28
"751062201",2020,5528.32181259601,6844.91486203637,8
"751062201",2021,19418.9622641509,31706.4564410689,32
"751062201",2022,15770.3142857143,14754.8830477496,37
"751062201",2023,18915.1129251701,25522.4981235121,22
"751062201",2024,15151.817580965,14121.4218616939,22
"751062201",2025,16504.0650406504,19548.6346159533,7
"751062202",2020,18100,16795.6919406063,13
"751062202",2021,16050.1162790698,17454.7476029939,23
"751062202",2022,17265.625,19538.698186183,31
"751062202",2023,21153.8461538462,18701.8605643794,31
"751062202",2024,16304.347826087,19178.4501802839,37
"751062202",2025,19764.9744829439,29886.5353325178,6
"751062203",2020,13844.7916666667,15363.2068556785,29
"751062203",2021,16145.8333333333,30376.3386922004,75
"751062203",2022,17257.2833333333,21199.5824270188,76
"751062203",2023,15187.7777777778,15945.0930852339,46
"751062203",2024,13736.5517241379,15286.6282412721,58
"751062203",2025,15000,19942.46737632,25
"751062204",2020,17171.7171717172,31751.151292029,17
"751062204",2021,15491.8032786885,31196.6667714068,47
"751062204",2022,14366.2476344958,16593.0962302048,54
"751062204",2023,16030.303030303,16404.9004714697,46
"751062204",2024,17285.7142857143,18705.9786435398,57
"751062204",2025,13235.2941176471,16963.269069742,25
"751062301",2020,14642.8571428571,14839.1044640184,21
"751062301",2021,13653.8961038961,13613.7112870559,34
"751062301",2022,14062.0253164557,14936.7508981053,36
"751062301",2023,14470.6136560069,15053.0427311768,40
